IntA;IntB;BioGRID;Biogrid_SS;BioGRID_Quality
AT1G01140;AT2G23290;1;1;binary
AT1G01360;AT4G26080;1;1;HQ
AT1G04100;AT1G15050;1;1;binary
AT1G04100;AT3G04730;1;1;binary
AT1G04100;AT3G23030;1;1;HQ
AT1G04240;AT1G04250;1;1;binary
AT1G04250;AT3G15540;1;1;binary
AT1G04550;AT1G04550;1;1;HQ
AT1G04550;AT2G33310;1;1;binary
AT1G04550;AT3G04730;1;1;binary
AT1G04550;AT3G15540;1;1;binary
AT1G07430;AT4G01026;1;1;HQ
AT1G07430;AT4G18620;1;1;binary
AT1G15050;AT3G23050;1;1;binary
AT1G17380;AT4G28910;1;1;HQ
AT1G19050;AT3G29350;1;1;HQ
AT1G30270;AT5G47100;1;1;HQ
AT1G37130;AT1G37130;1;1;binary
AT1G52340;AT1G52340;1;1;binary
AT1G53510;AT2G01570;1;1;binary
AT1G64280;AT5G06950;1;1;HQ
AT1G65620;AT2G37630;1;1;HQ
AT1G75080;AT2G01570;1;1;HQ
AT2G01760;AT2G23290;1;1;binary
AT2G02560;AT4G08150;1;1;binary
AT2G29380;AT4G01026;1;1;binary
AT2G33310;AT3G15540;1;1;binary
AT2G33310;AT3G23050;1;1;binary
AT2G38490;AT4G28640;1;1;binary
AT2G40330;AT4G26080;1;1;HQ
AT2G44950;AT2G44950;1;1;binary
AT3G04730;AT3G15540;1;1;HQ
AT3G15540;AT3G17600;1;1;binary
AT3G15540;AT3G23030;1;1;binary
AT3G15540;AT4G14560;1;1;HQ
AT3G17600;AT4G30080;1;1;binary
AT3G23030;AT3G23050;1;1;binary
AT4G14560;AT4G14560;1;1;HQ
AT4G15560;AT4G15560;1;1;binary
AT4G26080;AT4G27920;1;1;non-binary
AT4G26080;AT5G05440;1;1;HQ
AT4G26080;AT5G53160;1;1;HQ
AT4G28910;AT4G32570;1;1;HQ
AT5G17690;AT5G17690;1;1;HQ
AT5G35410;AT5G47100;1;1;binary
AT5G47100;AT5G58380;1;1;binary
AT1G04250;AT1G04250;1;1;HQ
AT4G36930;AT4G36930;1;1;binary
AT1G17550;AT5G53160;1;1;non-binary
AT4G37260;AT5G53160;1;1;binary
AT1G04250;AT4G14560;1;1;binary
AT1G19220;AT3G23050;1;1;binary
AT1G04250;AT3G61830;1;1;non-binary
AT1G04250;AT1G04550;1;1;HQ
AT2G30020;AT4G01370;1;1;HQ
AT1G74950;AT4G28910;1;1;binary
AT1G64280;AT3G12250;1;1;HQ
AT3G29350;AT4G16110;1;1;HQ
AT4G01370;AT4G29810;1;1;HQ
AT5G01600;AT5G01600;1;1;binary
AT5G67300;AT5G67300;1;1;binary
