AGI;abscisic_acid;auxin;brassinosteroid;cytokinin;ethylene;gibberellin;jasmonic_acid;salicylic_acid;summary;summary_detailed;pieVec
AT1G16540;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G52340;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT1G67080;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT2G27150;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G14440;1;0;0;0;1;0;0;0;multiple;abscisic acid,ethylene;piechart: valuelist="1,0,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT3G26090;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT4G15560;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT5G03280;1;0;0;0;1;0;0;0;multiple;abscisic acid,ethylene;piechart: valuelist="1,0,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT5G57740;1;1;0;0;1;0;0;0;multiple;abscisic acid,auxin,ethylene;piechart: valuelist="1,1,0,0,1,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
AT5G67030;1;0;0;0;0;0;0;0;abscisic acid;abscisic acid;piechart: valuelist="1,0,0,0,0,0,0,0" colorlist="#00CCCC,#0066CC,#6600CC,#CC00CC,#CC0000,#CC6600,#CCCC00,#00CC00" labellist=""
